Text,True_Label,predicted_label,is_correct
akun whatsapp wakil bupati bantul nomor donasi,1,0,False
koalisi perubahan cari istilah milenial nama sekretariat,0,0,True
peringatan pemblokiran tim pemblokiran facebook,1,0,False
apdesi surta wijaya dukung jokowi periode anggotanya menolak,0,0,True
video rapat program buka puasa dki jakarta,1,0,False
pinjaman online kospin jasa pesan whatsapp,1,0,False
pks umumkan capres rekomendasi anies baswedan salah satunya,0,0,True
besok rebo pahing bambang pacul pdip reshuffle,0,0,True
keluarga gusdur mendukung penuh calon president,1,0,False
cak nun jokowi firaun disuruh,1,0,False
susunan kabinet kerja jilid ii jokowi maruf,1,0,False
jokowi hadiri ktt g jerman negara mitra presiden ukraina diundang,0,0,True
rayakan abad nu muhaimin iskandar sowan ulama ntb,0,0,True
rekaman suara pertengkaran ferdy sambo istrinya magelang,1,0,False
jokowi sertifikat tanah sk hutan sosial sumatera utara,0,0,True
anies baswedan renang selokan bentuk syarat presiden,1,0,False
prabowo ajari gibran berkuda hambalang,0,0,True
rudy hartono meninggal dunia,1,0,False
gunung welirang jawa timur erupsi,1,0,False
sederet senjata canggih dipakai tni tentara as latihan super garuda shield,0,0,True
foto kemunculan harimau jalur pendakian gunung sibayak,1,0,False
pengamat koalisi gerindra pkb berdua dikunci prabowo capres cak imin cawapres,0,0,True
akun whatsapp bupati kabupaten blitar rini syarifah,1,0,False
artikel merdeka com maruf gak bayar zakat masuk neraka jahanam,1,0,False
bukti kecurangan jokowi sembako,1,0,False
video pemudik sungai,1,0,False
zulhas dilaporkan bawaslu pan bilang salah alamat berdasar,0,0,True
hantu nge gym olahraga taman jhansi india orang corona,1,0,False
surat perintah pendataan tenaga medis non medis rumah sakit,1,0,False
gonjang ganjing pilpres rawan jebakan politik adu domba,0,0,True
artikel berjudul optimis menang pemilu puan licik,1,0,False
tunggakan bpjs kesehatan lunas bayar,1,0,False
surya paloh umumkan nama capres nasdem anies ganjar andika,0,0,True
polisi benarkan upaya fpi penyebar kaos atribut pki,1,0,False
diduga surat boongan,1,0,False
video ufo jam diatas daerah tanah abang,1,0,False
kaesang erina putuskan berpisah,1,0,False
penundaan pemilu pbnu yahya cholil staquf dialog,0,0,True
pemilu diikuti partai profilnya,0,0,True
kib piala dunia zulhas dianggap pemenang,0,0,True
kpu didesak terbitkan aturan pendaftaran peserta pemilu,0,0,True
yenny wahid calon pemimpin isu politik identitas,0,0,True
dibebaskan bharada e richard eliezer ziarah makam brigadir j,1,0,False
tangkapan layar video cnn memberitakan rakyat dibunuh vaksin tiongkok,1,0,False
anggaran jumbo pemilu calon anggota bicara kpu gelar acara hotel,0,0,True
video ufo alien tinggal,1,0,False
ma ruf amin cek kesiapan ragunan sambut pengunjung libur lebaran,0,0,True
guntur soekarnoputra dukung ganjar capres puan umumkan ketum pdip,0,0,True
penjual bakso mantan intel menyamar,1,0,False
kenang peristiwa kudatuli pdip surabaya gelar peringatan,0,0,True
jokowi sambut kunjungan presiden timor leste jose ramos horta,0,0,True
burung lupa terbang,1,0,False
