Text,True_Label
legalisasi ganja medis komis iii pembahasan ruu narkotika tahap persiapan,0
acara pdip cak nun presiden bener,0
pemuda muhammadiyah jokowi periode setelahnya bangsa,0
labu kuning kukus sembuhkan covid,1
jambu kristal putih menangkal covid,1
hapus larangan keturunan pki anggota tni andika perkasa pujian,0
menag allah arab berdoa masjid pakai bahasa indonesia,1
taruhan pilpres berhadiah lapangan sepakbola,1
partai mahasiswa indonesia perubahan parkindo sejarah parkindo,0
air rebusan kayu manis menurunkan kadar gula darah penderita diabetes,1
hadapi pemilu partai pelita sasar pemilih milenial,0
kabar jokowi bertemu putin mahfud md,0
alasan waketum pan narasi cebong kampret,0
video penampakan tuyul konter hp,1
pengamat jargon cegah polarisasi pemilu lip service elite politik,0
vaksin yg suntikan jokowi berbeda,1
foto perbedaan bundaran hi era anies heru,1
sule meninggal dunia,1
foto anak raja salman bernama putri sarah,1
presiden pks ahmad syaikhu bertemu surya paloh kantor nasdem,0
foto ct scan pasien penderita claustrophobia,1
pembahasan revisi uu cipta kerja dpr tunggu kesepakatan fraksi fraksi,0
putra dudung abdurachman wisuda bhayangkara taruna akmil jempol andika perkasa,0
kapolda metro laskar fpi rampas pistol polisi tembak polisi,1
restoran gaib pulau laki klik tetep gak,1
macron memohon mohon boikot produk produk prancis,1
partai nasdem resmi usung anies baswedan capres,0
peringati lahir pancasila megawati nilai agung nenek moyang,0
prabowo hadiri kongres fatayat nu purnawirawan tni,0
pan psi sepakat tolak politisasi agama pemilu,0
video post tabligh akbar doa bangsa september,1
nasdem dorong ruu advokat ruu masyarakat adat masuk prolegnas prioritas,0
informasi pendaftaran program transmigrasi wilayah kalteng,1
hadapi pemilu mardiono kader ppp bersatu,0
presiden jokowi bertolak belgia hadiri pertemuan eu asean pagi,0
muhammad mardiono bantah pencopotan syaifullah tamliha mendukung suharso monoarfa,0
hadiah uang tunai program semarak lazada,1
foto artikel pesantren alquran terbakar santri guru tewas terpanggang,1
ceo pfizer ditangkap didakwa penipuan,1
alat thermo gun merusak kelenjar pineal,1
pidato sumpah pemuda hasto pdip cenderung politik identitas,0
seabad rosihan anwar catatannya sukarno tentara pki,0
jokowi kunjungan wisatawan asing indonesia kali lipat,0
sandiaga uno hadiri acara ppp gerindra jalin komunikasi partai lumrah izin ketum,0
lieus sungkharisma meninggal aktivis dukung jokowi prabowo,0
brigjen junior tumilaar ditahan rutan militer penjelasan ksad dudung,0
lsn penetapan prabowo capres bawa coattail effect gerindra,0
korban main game kalo kena syaraf coba,1
istana benarkan paman jokowi miyono meninggal,0
pengadaan gorden dpr formappi proses penentuan pemenang ditelusuri,0
memakai sendal jepit ditilang,1
bos samsung buka kedok ekonomi indonesia macet total dibawah jkw,1
pesan berantai ketua satgas covid dwiyono terkait metode menghirup uap air panas membunuh virus corona,1
reshuffle kabinet tebakan pan zulkifli hasan gantikan mendag muhammad lutfi,0
video masjid mushola ditutup tpi knp ngadain konser cuk,1
pengakuan jusuf kalla perjuangan moral jokowi,1
maulid nabi rusia dihadiri jutaan orang,1
mengonsumsi labu kuning menyembuhkan covid,1
imam masjid arab saudi dijatuhkan paksa mengkritik pemerintah,1
baloot arena perjudian arab saudi kali dibuka diresmikan,1
dpr kemendagri sepakati pkpu pendaftaran parpol peserta pemilu,0
foto heboh israel ubah masjid bersejarah bar,1
al quran terjemahan al maidah,1
kampus pemujaan setan bandung,1
video pertemuan rahasia anies baswedan pengusaha eropa,1
cek hp disadap,1
pertemuan surya paloh luhut london penjelasan wasekjen nasdem,0
